MSR_DT,STTN_NM,PM25,PM10,O3,CO,SO2,NO2,Month,Hour
2023-10-04 19:00:00,삼방동,9.0,17.0,0.032,0.31,0.002,0.012,10.0,19.0
2023-06-30 12:00:00,삼방동,2.0,3.0,0.03,0.38,0.0032,0.013,6.0,12.0
2023-02-05 17:00:00,삼방동,14.0,17.0,0.048,0.4,0.003,0.01,2.0,17.0
2023-01-02 14:00:00,삼방동,2.0,15.0,0.031,0.2,0.002,0.005,1.0,14.0
2023-01-24 03:00:00,삼방동,33.0,,0.034,0.5,0.002,0.005,1.0,3.0
2023-02-25 11:00:00,삼방동,14.0,25.0,0.041,0.4,0.003,0.01,2.0,11.0
2023-02-03 20:00:00,삼방동,27.0,37.0,0.016,0.5,0.003,0.035,2.0,20.0
2023-12-13 23:00:00,삼방동,5.0,11.0,0.0362,0.28,0.0029,0.0101,12.0,23.0
2023-01-21 08:00:00,삼방동,6.0,,0.025,0.3,0.002,0.01,1.0,8.0
2023-12-28 14:00:00,삼방동,29.0,55.0,0.0475,0.38,0.0027,0.0131,12.0,14.0
2023-10-28 03:00:00,삼방동,11.0,15.0,0.029,0.43,0.0021,0.008,10.0,3.0
2023-10-09 06:00:00,삼방동,3.0,11.0,0.032,0.26,0.002,0.007,10.0,6.0
2023-08-12 15:00:00,삼방동,11.0,17.0,0.033,0.4,0.0015,0.004,8.0,15.0
2023-04-26 01:00:00,삼방동,13.0,17.0,0.03,0.27,0.002,0.007,4.0,1.0
2023-09-10 01:00:00,삼방동,4.0,9.0,,0.22,0.0012,0.005,9.0,1.0
2023-05-25 08:00:00,삼방동,6.0,11.0,0.024,0.46,0.0024,0.018,5.0,8.0
2023-12-12 02:00:00,삼방동,5.0,7.0,0.0385,0.27,0.0019,0.0059,12.0,2.0
2023-10-26 21:00:00,삼방동,,,,,,,10.0,21.0
2023-12-03 10:00:00,삼방동,39.0,63.0,0.0142,0.53,0.0041,0.0259,12.0,10.0
2023-01-23 11:00:00,삼방동,10.0,,0.038,0.3,0.003,0.006,1.0,11.0
,삼방동,7.0,13.0,0.025,0.47,0.0037,0.015,,
2023-08-25 18:00:00,삼방동,10.0,19.0,0.037,0.38,0.0019,0.011,8.0,18.0
2023-01-24 16:00:00,삼방동,5.0,,0.032,0.3,0.002,0.003,1.0,16.0
2023-10-07 20:00:00,삼방동,5.0,13.0,0.037,0.27,0.0027,0.008,10.0,20.0
2023-07-25 20:00:00,삼방동,9.0,7.0,0.018,0.27,0.0014,0.01,7.0,20.0
2023-05-31 21:00:00,삼방동,8.0,15.0,0.044,0.49,0.0036,0.014,5.0,21.0
2023-01-14 10:00:00,삼방동,5.0,14.0,0.032,,0.003,0.005,1.0,10.0
2023-06-09 12:00:00,삼방동,28.0,53.0,0.077,0.34,0.0029,0.011,6.0,12.0
2023-09-28 23:00:00,삼방동,14.0,25.0,0.039,0.34,0.0021,0.009,9.0,23.0
2023-05-08 13:00:00,삼방동,17.0,23.0,0.063,0.3,0.002,0.007,5.0,13.0
2023-12-27 09:00:00,삼방동,25.0,57.0,0.0039,0.63,0.0035,0.0382,12.0,9.0
2023-08-09 17:00:00,삼방동,0.0,5.0,0.015,0.41,0.001,0.004,8.0,17.0
2023-11-28 08:00:00,삼방동,17.0,51.0,0.023,0.44,0.0019,0.017,11.0,8.0
2023-11-07 23:00:00,삼방동,8.0,19.0,0.034,0.27,0.0027,0.013,11.0,23.0
2023-09-13 21:00:00,삼방동,14.0,19.0,0.053,0.38,0.001,0.008,9.0,21.0
2023-02-23 16:00:00,삼방동,25.0,29.0,0.056,0.4,0.003,0.01,2.0,16.0
2023-08-26 22:00:00,삼방동,16.0,25.0,0.029,0.32,0.0025,0.008,8.0,22.0
2023-08-11 08:00:00,삼방동,4.0,13.0,0.016,0.32,0.0014,0.011,8.0,8.0
2023-03-04 04:00:00,삼방동,25.0,35.0,0.031,0.4,0.003,0.02,3.0,4.0
2023-05-26 02:00:00,삼방동,7.0,11.0,0.038,0.38,0.0023,0.011,5.0,2.0
2023-12-16 15:00:00,삼방동,4.0,9.0,0.0388,0.27,0.002,0.0078,12.0,15.0
2023-05-06 19:00:00,삼방동,2.0,5.0,0.049,0.28,0.002,0.005,5.0,19.0
,삼방동,9.0,12.0,0.028,0.3,0.003,0.01,,
2023-12-10 21:00:00,삼방동,23.0,65.0,0.0503,0.39,0.0023,0.0081,12.0,21.0
2023-11-04 08:00:00,삼방동,18.0,35.0,0.003,0.44,0.0027,0.027,11.0,8.0
2023-10-25 05:00:00,삼방동,20.0,37.0,0.019,0.39,0.0018,0.021,10.0,5.0
2023-03-06 01:00:00,삼방동,9.0,15.0,0.032,0.4,0.003,0.014,3.0,1.0
2023-05-02 10:00:00,삼방동,18.0,47.0,0.02,0.43,0.004,0.038,5.0,10.0
2023-06-27 05:00:00,삼방동,2.0,9.0,0.022,0.28,0.0024,0.003,6.0,5.0
2023-06-25 10:00:00,삼방동,11.0,11.0,0.039,0.27,,0.012,6.0,10.0
2023-02-11 11:00:00,삼방동,37.0,43.0,0.011,0.6,0.003,0.032,2.0,11.0
2023-09-30 12:00:00,삼방동,8.0,15.0,0.04,0.3,0.0021,0.007,9.0,12.0
2023-01-18 22:00:00,삼방동,26.0,49.0,0.02,,0.003,0.019,1.0,22.0
2023-10-19 20:00:00,삼방동,16.0,33.0,0.032,0.44,0.002,0.023,10.0,20.0
2023-12-16 18:00:00,삼방동,2.0,9.0,0.0362,0.29,0.0019,0.0089,12.0,18.0
2023-08-29 16:00:00,삼방동,9.0,19.0,0.019,0.33,0.0016,0.008,8.0,16.0
2023-04-28 13:00:00,삼방동,6.0,31.0,0.067,0.25,0.002,0.008,4.0,13.0
